[2025-07-27 00:56:49] INFO | SERVER | STARTED | Servidor activo en 192.168.0.2:8080 | SERVER | ID:30199461
[2025-07-27 00:56:49] INFO | CONSOLE | THREAD_STARTED | Hilo de monitoreo iniciado | SERVER | ID:64363041
[2025-07-27 00:56:52] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:51370 | /127.0.0.1 | ID:85909111
[2025-07-27 00:56:52] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:51370 | SERVER | ID:26547311
[2025-07-27 00:57:59] INFO | SERVER | SHUTDOWN | ServerSocket cerrado exitosamente | SERVER | ID:24600802
[2025-07-27 00:57:59] INFO | CONSOLE | THREAD_ENDED | Hilo de monitoreo terminado | SERVER | ID:42396910
[2025-07-27 00:58:00] INFO | SERVER | HOST_RESOLVE | Host: 192.168.0.2 | SERVER | ID:79555473
[2025-07-27 00:58:00] INFO | SERVER | SOCKET_CREATED | ServerSocket creado en puerto: 8080 | SERVER | ID:06716562
[2025-07-27 00:58:00] INFO | SERVER | STARTED | Servidor activo en 192.168.0.2:8080 | SERVER | ID:50704977
[2025-07-27 00:58:00] INFO | CONSOLE | THREAD_STARTED | Hilo de monitoreo iniciado | SERVER | ID:96283706
[2025-07-27 00:58:04] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:51375 | /127.0.0.1 | ID:22813768
[2025-07-27 00:58:04] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:51375 | SERVER | ID:02467893
[2025-07-27 00:59:28] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:51383 | /127.0.0.1 | ID:49754947
[2025-07-27 00:59:28] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:51383 | SERVER | ID:36052182
[2025-07-27 00:59:39] INFO | SERVER | SHUTDOWN | ServerSocket cerrado exitosamente | SERVER | ID:89600779
[2025-07-27 00:59:39] INFO | CONSOLE | THREAD_ENDED | Hilo de monitoreo terminado | SERVER | ID:36971837
[2025-07-27 01:03:57] INFO | SERVER | HOST_RESOLVE | Host: 192.168.0.2 | SERVER | ID:96354859
[2025-07-27 01:03:57] INFO | SERVER | SOCKET_CREATED | ServerSocket creado en puerto: 8080 | SERVER | ID:87422198
[2025-07-27 01:03:57] INFO | SERVER | STARTED | Servidor activo en 192.168.0.2:8080 | SERVER | ID:91995239
[2025-07-27 01:03:57] INFO | CONSOLE | THREAD_STARTED | Hilo de monitoreo iniciado | SERVER | ID:40008562
[2025-07-27 01:04:00] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:51421 | /127.0.0.1 | ID:85945409
[2025-07-27 01:04:00] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:51421 | SERVER | ID:69824000
[2025-07-27 01:04:29] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:51422 | /127.0.0.1 | ID:51262158
[2025-07-27 01:04:29] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:51422 | SERVER | ID:45079601
[2025-07-27 01:04:38] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:51423 | /127.0.0.1 | ID:37525923
[2025-07-27 01:04:38] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:51423 | SERVER | ID:32360615
[2025-07-27 01:29:35] INFO | SERVER | SHUTDOWN | ServerSocket cerrado exitosamente | SERVER | ID:62346308
[2025-07-27 01:29:35] INFO | CONSOLE | THREAD_ENDED | Hilo de monitoreo terminado | SERVER | ID:50855696
