[2025-07-27 17:13:07] INFO | CLIENT | NO_FILES_TO_UPLOAD | Cliente sin archivos | SERVER | ID:92013958
[2025-07-27 17:13:07] INFO | MENU | MENU_SENT | Menú enviado: Menu Principal | SERVER | ID:84747938
[2025-07-27 17:13:09] INFO | CLIENT | OPTION_RECEIVED | Opción recibida: 4 | SERVER | ID:63685879
[2025-07-27 17:13:17] INFO | SERVER | SHUTDOWN | ServerSocket cerrado exitosamente | SERVER | ID:38836851
[2025-07-27 17:13:17] DEBUG | CONSOLE | THREAD_ENDED | Hilo de monitoreo terminado | SERVER | ID:11998848
[2025-07-27 17:15:57] INFO | SERVER | HOST_RESOLVE | Host: 192.168.0.2 | SERVER | ID:62567934
[2025-07-27 17:15:57] INFO | SERVER | SOCKET_CREATED | ServerSocket creado en puerto: 8080 | SERVER | ID:35691573
[2025-07-27 17:15:57] INFO | SERVER | STARTED | Servidor activo en 192.168.0.2:8080 | SERVER | ID:56438611
[2025-07-27 17:15:57] INFO | CONSOLE | THREAD_STARTED | Hilo de monitoreo iniciado | SERVER | ID:78216242
[2025-07-27 17:15:59] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:58103 | /127.0.0.1 | ID:35597045
[2025-07-27 17:15:59] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:58103 | SERVER | ID:70020800
[2025-07-27 17:15:59] INFO | MENU | MENU_SENT | Menú enviado: Menu Principal | SERVER | ID:46462923
[2025-07-27 17:16:01] INFO | CLIENT | OPTION_RECEIVED | Opción recibida: 3 | SERVER | ID:02982274
[2025-07-27 17:16:01] INFO | CLIENT | UPLOAD_REQUEST | Cliente solicitó subir archivo | SERVER | ID:51940963
[2025-07-27 17:16:01] INFO | CLIENT | NO_FILES_TO_UPLOAD | Cliente sin archivos | SERVER | ID:99726764
[2025-07-27 17:16:01] INFO | MENU | MENU_SENT | Menú enviado: Menu Principal | SERVER | ID:16219642
[2025-07-27 17:16:06] INFO | CLIENT | OPTION_RECEIVED | Opción recibida: 3 | SERVER | ID:84662532
[2025-07-27 17:16:06] INFO | CLIENT | UPLOAD_REQUEST | Cliente solicitó subir archivo | SERVER | ID:17324528
[2025-07-27 17:16:06] INFO | CLIENT | NO_FILES_TO_UPLOAD | Cliente sin archivos | SERVER | ID:84082862
[2025-07-27 17:16:06] INFO | MENU | MENU_SENT | Menú enviado: Menu Principal | SERVER | ID:99160699
[2025-07-27 17:16:19] INFO | CLIENT | OPTION_RECEIVED | Opción recibida: 3 | SERVER | ID:21528385
[2025-07-27 17:16:19] INFO | CLIENT | UPLOAD_REQUEST | Cliente solicitó subir archivo | SERVER | ID:88679808
[2025-07-27 17:16:20] INFO | CLIENT | UPLOAD_CANCELLED | Cliente canceló subida | SERVER | ID:04214723
[2025-07-27 17:16:20] INFO | MENU | MENU_SENT | Menú enviado: Menu Principal | SERVER | ID:90413927
[2025-07-27 17:18:09] INFO | CLIENT | OPTION_RECEIVED | Opción recibida: 4 | SERVER | ID:68592969
[2025-07-27 17:18:11] INFO | SERVER | SHUTDOWN | ServerSocket cerrado exitosamente | SERVER | ID:26078591
[2025-07-27 17:18:11] DEBUG | CONSOLE | THREAD_ENDED | Hilo de monitoreo terminado | SERVER | ID:03353011
[2025-07-27 17:47:45] INFO | SERVER | HOST_RESOLVE | Host: 192.168.0.2 | SERVER | ID:25675180
[2025-07-27 17:47:45] INFO | SERVER | SOCKET_CREATED | ServerSocket creado en puerto: 8080 | SERVER | ID:16063466
[2025-07-27 17:47:45] INFO | SERVER | STARTED | Servidor activo en 192.168.0.2:8080 | SERVER | ID:00042230
[2025-07-27 17:47:45] INFO | CONSOLE | THREAD_STARTED | Hilo de monitoreo iniciado | SERVER | ID:69294060
[2025-07-27 17:47:48] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:58340 | /127.0.0.1 | ID:17369238
[2025-07-27 17:47:48] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:58340 | SERVER | ID:07117994
[2025-07-27 17:47:48] INFO | MENU | MENU_SENT | Menú enviado: Menu Principal | SERVER | ID:29108422
[2025-07-27 17:47:49] INFO | CLIENT | OPTION_RECEIVED | Opción recibida: 1 | SERVER | ID:07869182
[2025-07-27 17:47:49] INFO | MENU | MENU_SENT | Menú enviado: Archivos Disponibles | SERVER | ID:22253431
[2025-07-27 17:47:49] INFO | FILE | LIST_SENT | 4 archivos enviados | SERVER | ID:27138663
[2025-07-27 17:47:49] INFO | MENU | MENU_SENT | Menú enviado: Menu Principal | SERVER | ID:41419387
[2025-07-27 17:47:51] INFO | CLIENT | OPTION_RECEIVED | Opción recibida: 1 | SERVER | ID:93084475
[2025-07-27 17:47:51] INFO | MENU | MENU_SENT | Menú enviado: Archivos Disponibles | SERVER | ID:71138840
[2025-07-27 17:47:51] INFO | FILE | LIST_SENT | 4 archivos enviados | SERVER | ID:18886330
[2025-07-27 17:47:51] INFO | MENU | MENU_SENT | Menú enviado: Menu Principal | SERVER | ID:24066001
[2025-07-27 17:47:54] INFO | CLIENT | OPTION_RECEIVED | Opción recibida: 2 | SERVER | ID:52905635
