[2025-07-27 19:15:36] INFO | CLIENT | MESSAGE_RECEIVED | Mensaje del servidor: Descarga Completada. | CLIENT | ID:66364122
[2025-07-27 19:15:36] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: PAUSE | CLIENT | ID:88186953
[2025-07-27 19:15:36] INFO | CLIENT | PAUSE_RECEIVED | Pausa solicitada: continuar | CLIENT | ID:93262631
[2025-07-27 19:15:57] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: MENU | CLIENT | ID:93536821
[2025-07-27 19:15:57] INFO | CLIENT | MENU_RECEIVED | Menú recibido: Menu Principal con 4 opciones | CLIENT | ID:92612722
[2025-07-27 19:15:57] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: OPTION | CLIENT | ID:62373993
[2025-07-27 19:16:00] INFO | CLIENT | OPTION_SENT | Opción enviada: 2 | CLIENT | ID:76254588
[2025-07-27 19:16:00] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: MENU | CLIENT | ID:24165356
[2025-07-27 19:16:00] INFO | CLIENT | MENU_RECEIVED | Menú recibido: Archivos Disponibles para Descargar con 7 opciones | CLIENT | ID:19221701
[2025-07-27 19:16:00] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: OPTION | CLIENT | ID:60511554
[2025-07-27 19:16:02] INFO | CLIENT | OPTION_SENT | Opción enviada: 10000 | CLIENT | ID:67064725
[2025-07-27 19:16:02] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: MESSAGE | CLIENT | ID:00652468
[2025-07-27 19:16:02] INFO | CLIENT | MESSAGE_RECEIVED | Mensaje del servidor: Selección de archivo inválida | CLIENT | ID:32625565
[2025-07-27 19:16:02] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: MENU | CLIENT | ID:27743048
[2025-07-27 19:16:02] INFO | CLIENT | MENU_RECEIVED | Menú recibido: Archivos Disponibles para Descargar con 7 opciones | CLIENT | ID:42201228
[2025-07-27 19:16:02] DEBUG | CLIENT | COMMAND_RECEIVED | Comando recibido: OPTION | CLIENT | ID:90564985
[2025-07-27 19:16:07] INFO | CLIENT | OPTION_SENT | Opción enviada: 20000 | CLIENT | ID:13442604
